NL,OCL,Tag,,,
" loanterm is the object loa in the instance set of class LoanTerm. loa represents an object of class LoanTerm, and loa meets:
      The attribute ItemID of the object loa is equal to itemid","   loanterm:LoanTerm = LoanTerm.allInstance()->any(loa:LoanTerm | loa.ItemID = itemid)
","Definition
","Generate OCL : loanterm is the object loa in the instance set of class LoanTerm. loa represents an object of class LoanTerm, and loa meets:
      The attribute ItemID of the object loa is equal to itemid","Concode OCL : loanterm is the object loa in the instance set of class LoanTerm. loa represents an object of class LoanTerm, and loa meets:
      The attribute ItemID of the object loa is equal to itemid","Concode OCL : loanterm is the object loa in the instance set of class LoanTerm. loa represents an object of class LoanTerm, and loa meets:
      The attribute ItemID of the object loa is equal to itemid"
 loanterm doesn't exist,"   loanterm.oclIsUndefined() = true
","Precondition
",Generate OCL : loanterm doesn't exist,Concode OCL : loanterm doesn't exist,Concode OCL : loanterm doesn't exist
" loa represented the object of class LoanTerm
  The object loa was created
  The attribute ItemID of the object loa became itemid
  The attribute Content of the object loa became content
  The object loa was put into the instance set of class LoanTerm
  The return value was true","   let loa:LoanTerm in
   loa.oclIsNew() and
   loa.ItemID = itemid and
   loa.Content = content and
   LoanTerm.allInstance()->includes(loa) and
   result = true
","Postcondition
","Generate OCL : loa represented the object of class LoanTerm
  The object loa was created
  The attribute ItemID of the object loa became itemid
  The attribute Content of the object loa became content
  The object loa was put into the instance set of class LoanTerm
  The return value was true","Concode OCL : loa represented the object of class LoanTerm
  The object loa was created
  The attribute ItemID of the object loa became itemid
  The attribute Content of the object loa became content
  The object loa was put into the instance set of class LoanTerm
  The return value was true","Concode OCL : loa represented the object of class LoanTerm
  The object loa was created
  The attribute ItemID of the object loa became itemid
  The attribute Content of the object loa became content
  The object loa was put into the instance set of class LoanTerm
  The return value was true"
" loanterm is the object loa in the instance set of class LoanTerm. loa represents an object of class LoanTerm, and loa meets:
      The attribute ItemID of the object loa is equal to itemid","   loanterm:LoanTerm = LoanTerm.allInstance()->any(loa:LoanTerm | loa.ItemID = itemid)
","Definition
","Generate OCL : loanterm is the object loa in the instance set of class LoanTerm. loa represents an object of class LoanTerm, and loa meets:
      The attribute ItemID of the object loa is equal to itemid","Concode OCL : loanterm is the object loa in the instance set of class LoanTerm. loa represents an object of class LoanTerm, and loa meets:
      The attribute ItemID of the object loa is equal to itemid","Concode OCL : loanterm is the object loa in the instance set of class LoanTerm. loa represents an object of class LoanTerm, and loa meets:
      The attribute ItemID of the object loa is equal to itemid"
 loanterm exists,"   loanterm.oclIsUndefined() = false
","Precondition
",Generate OCL : loanterm exists,Concode OCL : loanterm exists,Concode OCL : loanterm exists
 The return value was loanterm,"   result = loanterm
","Postcondition
",Generate OCL : The return value was loanterm,Concode OCL : The return value was loanterm,Concode OCL : The return value was loanterm
" loanterm is the object loa in the instance set of class LoanTerm. loa represents an object of class LoanTerm, and loa meets:
      The attribute ItemID of the object loa is equal to itemid","   loanterm:LoanTerm = LoanTerm.allInstance()->any(loa:LoanTerm | loa.ItemID = itemid)
","Definition
","Generate OCL : loanterm is the object loa in the instance set of class LoanTerm. loa represents an object of class LoanTerm, and loa meets:
      The attribute ItemID of the object loa is equal to itemid","Concode OCL : loanterm is the object loa in the instance set of class LoanTerm. loa represents an object of class LoanTerm, and loa meets:
      The attribute ItemID of the object loa is equal to itemid","Concode OCL : loanterm is the object loa in the instance set of class LoanTerm. loa represents an object of class LoanTerm, and loa meets:
      The attribute ItemID of the object loa is equal to itemid"
 loanterm exists,"   loanterm.oclIsUndefined() = false
","Precondition
",Generate OCL : loanterm exists,Concode OCL : loanterm exists,Concode OCL : loanterm exists
" The attribute ItemID of the object loanterm became itemid
  The attribute Content of the object loanterm became content
  The return value was true","   loanterm.ItemID = itemid and
   loanterm.Content = content and
   result = true
","Postcondition
","Generate OCL : The attribute ItemID of the object loanterm became itemid
  The attribute Content of the object loanterm became content
  The return value was true","Concode OCL : The attribute ItemID of the object loanterm became itemid
  The attribute Content of the object loanterm became content
  The return value was true","Concode OCL : The attribute ItemID of the object loanterm became itemid
  The attribute Content of the object loanterm became content
  The return value was true"
" loanterm is the object loa in the instance set of class LoanTerm. loa represents an object of class LoanTerm, and loa meets:
      The attribute ItemID of the object loa is equal to itemid","   loanterm:LoanTerm = LoanTerm.allInstance()->any(loa:LoanTerm | loa.ItemID = itemid)
","Definition
","Generate OCL : loanterm is the object loa in the instance set of class LoanTerm. loa represents an object of class LoanTerm, and loa meets:
      The attribute ItemID of the object loa is equal to itemid","Concode OCL : loanterm is the object loa in the instance set of class LoanTerm. loa represents an object of class LoanTerm, and loa meets:
      The attribute ItemID of the object loa is equal to itemid","Concode OCL : loanterm is the object loa in the instance set of class LoanTerm. loa represents an object of class LoanTerm, and loa meets:
      The attribute ItemID of the object loa is equal to itemid"
" loanterm exists
  The object loanterm is in the instance set of class LoanTerm","   loanterm.oclIsUndefined() = false and
   LoanTerm.allInstance()->includes(loanterm)
","Precondition
","Generate OCL : loanterm exists
  The object loanterm is in the instance set of class LoanTerm","Concode OCL : loanterm exists
  The object loanterm is in the instance set of class LoanTerm","Concode OCL : loanterm exists
  The object loanterm is in the instance set of class LoanTerm"
" The object loanterm was deleted from the instance set of class LoanTerm
  The return value was true","   LoanTerm.allInstance()->excludes(loanterm) and
   result = true
","Postcondition
","Generate OCL : The object loanterm was deleted from the instance set of class LoanTerm
  The return value was true","Concode OCL : The object loanterm was deleted from the instance set of class LoanTerm
  The return value was true","Concode OCL : The object loanterm was deleted from the instance set of class LoanTerm
  The return value was true"
